Project,Latitude,Longitude,Site,Start BCE,End BCE,Specimen Count,EOL URI,EOL Taxa Label,Analyst Taxanomic Designation (Source data)
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,35,http://eol.org/pages/7678,Artiodactyla,Ovis/Capra/Capreolus
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,20,http://eol.org/pages/328663,Sus scrofa,Sus scrofa
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,17,http://eol.org/pages/1228387,Canis lupus familiaris,Canis familiaris
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,11,http://eol.org/pages/39510,Ovis,Ovis
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,10,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,9,http://eol.org/pages/1670,Equidae,Equus sp.; Small-medium equid
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,3,http://eol.org/pages/7662,Carnivora,Medium carnivore
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,2,http://eol.org/pages/7685,Cervidae,Large cervid
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,1,http://eol.org/pages/328046,"Meles meles (Linnaeus, 1758)",Meles meles
Çatalhöyük Zooarchaeology,37.6675,32.828333,Çatalhöyük,9150,8950,1,http://eol.org/pages/42403,Capra,Capra
Zooarchaeology of Neolithic Ulucak,38.466749,27.352448,Ulucak,8990,7650,5,http://eol.org/pages/1642,Mammalia,Unid. medium mammal; Unid. medium to large mammal; Unid. small to medium mammal
Zooarchaeology of Neolithic Ulucak,38.466749,27.352448,Ulucak,8990,7650,2,http://eol.org/pages/328609,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes (red fox)
Zooarchaeology of Neolithic Ulucak,38.466749,27.352448,Ulucak,8990,7650,2,http://eol.org/pages/4445650,Sus scrofa domesticus,SUS (pig)
